"ZIP CODE","BOROUGH","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","count"
NULL,NULL,"RIVERSIDE DRIVE                 ",NULL,NULL,20
NULL,NULL,"WEST 133 STREET",NULL,NULL,20
NULL,NULL,"THROGS NECK EXPY",NULL,NULL,19
NULL,NULL,"ROCKAWAY BEACH BOULEVARD",NULL,NULL,19
NULL,NULL,"WEST 97 STREET",NULL,NULL,19
NULL,NULL,"ROGERS AVENUE                   ",NULL,NULL,19
NULL,NULL,"EAST 167 STREET",NULL,NULL,19
NULL,NULL,"MARTIN LUTHER KING JR",NULL,NULL,19
NULL,NULL,"UNION STREET",NULL,NULL,19
NULL,NULL,"PUTNAM AVENUE",NULL,NULL,19
NULL,NULL,"BLAKE AVENUE",NULL,NULL,19
NULL,NULL,"14 AVENUE",NULL,NULL,19
NULL,NULL,"WEST FORDHAM ROAD",NULL,NULL,19
NULL,NULL,"2 AVENUE                        ",NULL,NULL,19
NULL,NULL,"MANHATTAN BR LOWER",NULL,NULL,19
NULL,NULL,"VERRAZANO BRIDGE LOWER          ",NULL,NULL,19
"11208","BROOKLYN","ATLANTIC AVENUE",NULL,"LOGAN STREET",19
"11207","BROOKLYN","ATLANTIC AVENUE",NULL,"PENNSYLVANIA AVENUE",19
"10459","BRONX","HUNTS POINT AVENUE",NULL,"BRUCKNER BOULEVARD",19
"10453","BRONX","MAJOR DEEGAN EXPRESSWAY",NULL,"WEST FORDHAM ROAD",19
"10459","BRONX","BRUCKNER BOULEVARD",NULL,"FAILE STREET",18
"11249","BROOKLYN","WILLIAMSBURG STREET WEST",NULL,"WYTHE AVENUE",18
NULL,NULL,"NASSAU EXPRESSWAY               ",NULL,NULL,18
NULL,NULL,"ALEXANDER HAMILTON BRIDGE",NULL,NULL,18
NULL,NULL,"WINTHROP STREET",NULL,NULL,18
NULL,NULL,"NAGLE AVENUE",NULL,NULL,18
NULL,NULL,"PENNSYLVANIA AVENUE             ",NULL,NULL,18
NULL,NULL,"METROPOLITAN AVENUE",NULL,NULL,18
NULL,NULL,"ROOSEVELT AVENUE",NULL,NULL,18
NULL,NULL,"HUTCHINSON RIVER PARKWAY RAMP",NULL,NULL,18
NULL,NULL,"AVENUE D",NULL,NULL,18
NULL,NULL,"FOSTER AVENUE",NULL,NULL,18
NULL,NULL,"BLEECKER STREET",NULL,NULL,18
NULL,NULL,"GREENE AVENUE                   ",NULL,NULL,17
NULL,NULL,"BROOKLYN QUEENS EXPRESSWAY RAMP ",NULL,NULL,17
NULL,NULL,"WILLIS AVE BRIDGE",NULL,NULL,17
NULL,NULL,"18 AVENUE",NULL,NULL,17
NULL,NULL,"EAST 165 STREET",NULL,NULL,17
NULL,NULL,"MAIN STREET",NULL,NULL,17
NULL,NULL,"TILLARY STREET",NULL,NULL,17
NULL,NULL,"LEWIS AVENUE",NULL,NULL,17
NULL,NULL,"31 STREET",NULL,NULL,17
NULL,NULL,"LINDEN BOULEVARD",NULL,"VANWYCK EXPRESSWAY",17
NULL,NULL,"WEST 145 STREET                 ",NULL,NULL,17
NULL,NULL,"GRAND CENTRAL PARKWAY",NULL,NULL,17
NULL,NULL,"FLATBUSH AVENUE EXTENSION",NULL,NULL,17
NULL,NULL,"WEST 155 STREET",NULL,NULL,17
NULL,NULL,"11 AVENUE",NULL,NULL,17
NULL,NULL,"BREWER BOULEVARD",NULL,NULL,17
"11233","BROOKLYN","EASTERN PARKWAY",NULL,"HOWARD AVENUE",17
"11417","QUEENS","NORTH CONDUIT AVENUE",NULL,"COHANCY STREET",17
"11234","BROOKLYN","FLATBUSH AVENUE",NULL,"AVENUE V",16
"10455","BRONX","BRUCKNER BOULEVARD",NULL,"LEGGETT AVENUE",16
"11201","BROOKLYN","FLATBUSH AVENUE EXTENSION",NULL,"MYRTLE AVENUE",16
"10458","BRONX","EAST FORDHAM ROAD",NULL,"SOUTHERN BOULEVARD",16
"11207","BROOKLYN","PENNSYLVANIA AVENUE",NULL,"JAMAICA AVENUE",16
NULL,NULL,"WHITE PLAINS ROAD",NULL,"BRUCKNER BOULEVARD",16
NULL,NULL,"5 AVENUE                        ",NULL,NULL,16
NULL,NULL,"LINCOLN PLACE",NULL,NULL,16
NULL,NULL,"STOCKHOLM STREET",NULL,NULL,16
NULL,NULL,"QUEENSBORO BRIDGE LOWER ROADWAY",NULL,NULL,16
NULL,NULL,"CANAL STREET",NULL,NULL,16
NULL,NULL,"WALTON AVENUE",NULL,NULL,16
NULL,NULL,"SHORE PARKWAY",NULL,"ROCKAWAY PARKWAY",16
NULL,NULL,"HART STREET",NULL,NULL,16
NULL,NULL,"GERARD AVENUE",NULL,NULL,16
NULL,NULL,"WEST 96 STREET",NULL,NULL,16
NULL,NULL,"LINDEN STREET",NULL,NULL,16
NULL,NULL,"WEST FORDHAM ROAD",NULL,"SEDGWICK AVENUE",16
NULL,NULL,"STEINWAY STREET",NULL,NULL,16
NULL,NULL,"WEST BURNSIDE AVENUE",NULL,NULL,15
NULL,NULL,"TROY AVENUE                     ",NULL,NULL,15
NULL,NULL,"SUTPHIN BOULEVARD",NULL,NULL,15
NULL,NULL,"KNICKERBOCKER AVENUE            ",NULL,NULL,15
NULL,NULL,"EAST 174 STREET",NULL,NULL,15
NULL,NULL,"QUEENSBORO BRIDGE UPPER ROADWAY",NULL,NULL,15
NULL,NULL,"QUINCY STREET",NULL,NULL,15
NULL,NULL,"STILLWELL AVENUE",NULL,NULL,15
NULL,NULL,"SAINT NICHOLAS AVENUE           ",NULL,NULL,15
NULL,NULL,"BOSTON ROAD",NULL,NULL,15
NULL,NULL,"WESTCHESTER AVENUE              ",NULL,NULL,15
NULL,NULL,"PUTNAM AVENUE                   ",NULL,NULL,15
NULL,NULL,"WEST 100 STREET",NULL,NULL,15
NULL,NULL,"HERKIMER STREET",NULL,NULL,15
NULL,NULL,"WEBSTER AVENUE                  ",NULL,NULL,15
NULL,NULL,"FLATBUSH AVENUE                 ",NULL,NULL,15
NULL,NULL,"WEST 204 STREET",NULL,NULL,15
NULL,NULL,"LEXINGTON AVENUE                ",NULL,NULL,15
NULL,NULL,"EAST NEW YORK AVENUE",NULL,NULL,15
NULL,NULL,"VANWYCK EXPRESSWAY",NULL,"ROCKAWAY BOULEVARD",15
NULL,NULL,"BROOKLYN QUEENS EXPY (CDR)",NULL,NULL,15
"11233","BROOKLYN","ATLANTIC AVENUE",NULL,"EASTERN PARKWAY",15
"10465","BRONX","EAST GUN HILL ROAD",NULL,"BRONX RIVER PARKWAY",15
"10455","BRONX","BRUCKNER BOULEVARD",NULL,"LONGWOOD AVENUE",15
"11207","BROOKLYN","PENNSYLVANIA AVENUE",NULL,"LINDEN BOULEVARD",14
"11236","BROOKLYN","ROCKAWAY PARKWAY",NULL,"FLATLANDS AVENUE",14
"10460","BRONX","CROSS BRONX EXPRESSWAY",NULL,"ROSEDALE AVENUE",14
"10457","BRONX","WEBSTER AVENUE",NULL,"ITTNER PLACE",14
"11207","BROOKLYN","LINDEN BOULEVARD",NULL,"PENNSYLVANIA AVENUE",14
NULL,NULL,"SHERIDAN AVENUE",NULL,NULL,14
NULL,NULL,"PROSPECT EXPRESSWAY EAST        ",NULL,NULL,14
NULL,NULL,"15 AVENUE",NULL,NULL,14
NULL,NULL,"BRUCKNER EXPRESSWAY RAMP",NULL,NULL,14
NULL,NULL,"GRAND STREET",NULL,NULL,14
NULL,NULL,"BRUCKNER BOULEVARD",NULL,"WHITE PLAINS ROAD",14
NULL,NULL,"WEST 139 STREET",NULL,NULL,14
NULL,NULL,"GLENWOOD ROAD",NULL,NULL,14
NULL,NULL,"RIVER AVENUE",NULL,NULL,14
NULL,NULL,"GATES AVENUE                    ",NULL,NULL,14
NULL,NULL,"MONTGOMERY STREET",NULL,NULL,14
NULL,NULL,"BROOKLYN BATTERY TUNNEL         ",NULL,NULL,14
NULL,NULL,"NORTH CONDUIT AVENUE",NULL,"CROSS BAY BOULEVARD",14
NULL,NULL,"FRANCIS LEWIS BOULEVARD",NULL,NULL,14
NULL,NULL,"LENOX AVENUE                    ",NULL,NULL,14
NULL,NULL,"DUMONT AVENUE",NULL,NULL,14
NULL,NULL,"MACOMBS DAM BRIDGE",NULL,NULL,14
NULL,NULL,"WEST 42 STREET",NULL,NULL,14
"11434","QUEENS","ROCKAWAY BOULEVARD",NULL,"FARMERS BOULEVARD",14
NULL,NULL,"LIBERTY AVENUE                  ",NULL,NULL,14
NULL,NULL,"WEST 142 STREET",NULL,NULL,14
NULL,NULL,"UNIVERSITY AVENUE               ",NULL,NULL,14
NULL,NULL,"WEST 147 STREET",NULL,NULL,14
NULL,NULL,"SEDGWICK AVENUE",NULL,NULL,14
NULL,NULL,"WEST 143 STREET",NULL,NULL,14
NULL,NULL,"TROUTMAN STREET",NULL,NULL,14
NULL,NULL,"WEST HOUSTON STREET",NULL,NULL,14
NULL,NULL,"WEST 144 STREET",NULL,NULL,13
NULL,NULL,"ARTHUR KILL ROAD",NULL,NULL,13
NULL,NULL,"WILLIS AVE BRIDGE               ",NULL,NULL,13
NULL,NULL,"THROOP AVENUE                   ",NULL,NULL,13
NULL,NULL,"WEST 137 STREET",NULL,NULL,13
NULL,NULL,"BELT PARKWAY RAMP               ",NULL,NULL,13
NULL,NULL,"EAST 170 STREET",NULL,NULL,13
NULL,NULL,"FOUNTAIN AVENUE",NULL,NULL,13
NULL,NULL,"ROCKAWAY PARKWAY",NULL,NULL,13
NULL,NULL,"BATH AVENUE",NULL,NULL,13
NULL,NULL,"EAST 96 STREET",NULL,NULL,13
NULL,NULL,"EAST 169 STREET",NULL,NULL,13
NULL,NULL,"HAMILTON AVENUE",NULL,"3 AVENUE",13
NULL,NULL,"23 AVENUE",NULL,NULL,13
NULL,NULL,"JEFFERSON AVENUE",NULL,NULL,13
NULL,NULL,"BOERUM PLACE",NULL,NULL,13
NULL,NULL,"WEST 134 STREET",NULL,NULL,13
NULL,NULL,"PROSPECT PLACE",NULL,NULL,13
NULL,NULL,"VANDERBILT AVENUE",NULL,NULL,13
NULL,NULL,"QUEENSBORO BRIDGE UPPER         ",NULL,NULL,13
NULL,NULL,"CLARENDON ROAD",NULL,NULL,13
NULL,NULL,"SHERMAN AVENUE",NULL,NULL,13
NULL,NULL,"DITMAS AVENUE",NULL,NULL,13
NULL,NULL,"SARATOGA AVENUE",NULL,NULL,13
NULL,NULL,"WILLOUGHBY AVENUE               ",NULL,NULL,13
NULL,NULL,"G.C.P / L.I.E. (CDR)",NULL,NULL,13
NULL,NULL,"HENRY HUDSON PARKWAY RAMP       ",NULL,NULL,13
"10453","BRONX","WEST FORDHAM ROAD               ",NULL,"MAJOR DEEGAN EXPRESSWAY",13
"11234","BROOKLYN","FLATBUSH AVENUE",NULL,"AVENUE U",13
"11203","BROOKLYN","UTICA AVENUE",NULL,"CLARKSON AVENUE",13
"10451","BRONX","EAST 138 STREET",NULL,"EXTERIOR STREET",13
"11207","BROOKLYN","ATLANTIC AVENUE",NULL,"GEORGIA AVENUE",13
"11422","QUEENS","SOUTH CONDUIT AVENUE",NULL,"BROOKVILLE BOULEVARD",13
